entity,entity_full_name,agency,date,action_type,from_rating,to_rating,instrument_type,rationale_url,notes
Reliance Capital,Reliance Capital Limited,CRISIL,2019-06-21,downgrade,CRISIL AA,CRISIL A,Long Term Debt,,Multi-notch downgrade; group liquidity stress
Reliance Capital,Reliance Capital Limited,ICRA,2019-06-21,downgrade,[ICRA]AA,[ICRA]A,Long Term Debt,,Significant downgrade on liquidity concerns
Reliance Capital,Reliance Capital Limited,CARE,2019-09-20,default,CARE BB,CARE D,Long Term Debt,https://www.outlookindia.com/outlookmoney/finance/care-rating-downgrades-reliance-capital-from-bb-to-d-3610,All debt Rs 17000 cr downgraded to D; 1-day delay in coupon payment on NCDs; paid Sep 11 vs due Sep 9
Reliance Capital,Reliance Capital Limited,CRISIL,2019-10-01,downgrade,CRISIL A,CRISIL BBB-,Long Term Debt,,Further deterioration
Reliance Capital,Reliance Capital Limited,ICRA,2019-10-01,downgrade,[ICRA]A,[ICRA]BBB-,Long Term Debt,,Further downgrade
Reliance Capital,Reliance Capital Limited,CARE,2019-11-15,default,CARE D,CARE D,Long Term Debt,,Reaffirmed at D; further NCD defaults confirmed Nov 26
Reliance Capital,Reliance Capital Limited,CRISIL,2019-11-15,default,CRISIL BBB-,CRISIL D,Long Term Debt,,Default on NCD interest payment
Reliance Capital,Reliance Capital Limited,ICRA,2019-11-15,default,[ICRA]BBB-,[ICRA]D,Long Term Debt,,Default
Reliance Home Finance,Reliance Home Finance Limited,ICRA,2013-09-04,initial,,[ICRA] AAA,Indian Receivable Trust 9 PTC Series A,,source=history_H1_2023-2024
Reliance Home Finance,Reliance Home Finance Limited,ICRA,2016-10-18,initial,,[ICRA] AAA,RHF Indian Receivable Trust 1 2016 PTC Series A,,source=history_H2_2022-2023
Reliance Home Finance,Reliance Home Finance Limited,ICRA,2017-04-04,initial,,[ICRA] AAA,RHF Indian Receivable Trust 2 2017 PTC Series A,,source=history_H1_2023-2024
Reliance Home Finance,Reliance Home Finance Limited,ICRA,2017-05-04,initial,,[ICRA] AAA,RHF Indian Receivable Trust 2 2017 PTC Series A,,source=history_H2_2022-2023
Reliance Home Finance,Reliance Home Finance Limited,ICRA,2018-10-31,initial,,[ICRA] AAA,Indian Receivable Trust 2018 Series 3 PTC Series A,,source=history_H1_2023-2024
Reliance Home Finance,Reliance Home Finance Limited,ICRA,2018-11-15,initial,,[ICRA] AA,Indian Receivable Trust 2018 Series 2 PTC Series A,,source=history_H1_2023-2024
Reliance Home Finance,Reliance Home Finance Limited,ICRA,2018-11-26,initial,,[ICRA] AAA,Indian Receivable Trust 2018 Series 4 PTC Series A,,source=history_H1_2023-2024
Reliance Home Finance,Reliance Home Finance Limited,ICRA,2018-12-28,initial,,[ICRA] AAA,Indian Receivable Trust 2018 Series 7 PTC Series A,,source=history_H1_2023-2024
Reliance Home Finance,Reliance Home Finance Limited,ICRA,2019-01-25,initial,,[ICRA] AAA,Indian Receivable Trust 2019 Series 2 PTC Series A,,source=history_H2_2022-2023
Reliance Home Finance,Reliance Home Finance Limited,ICRA,2019-04-03,downgrade,[ICRA] AAA,[ICRA] AA,Indian Receivable Trust 2019 Series 2 PTC Series A,,source=history_H2_2022-2023
Reliance Home Finance,Reliance Home Finance Limited,CARE,2019-04-20,downgrade,CARE AA,CARE BBB+,Long Term Debt,https://www.business-standard.com/article/news-cm/reliance-home-finance-gets-revision-in-credit-ratings-from-care-119042000194_1.html,LT debt/NCD revised to BBB+ (Credit Watch Developing); upper Tier-II to BBB; driven by parent RCap downgrade
